trip_id,load_id,driver_id,truck_id,trailer_id,dispatch_date,actual_distance_miles,actual_duration_hours,fuel_gallons_used,average_mpg,idle_time_hours,trip_status
TRIP00000001,LOAD00000001,DRV00117,TRK00035,TRL00167,2022-01-01,1314,26.2,183.8,7.15,3.5,Completed
TRIP00000002,LOAD00000002,DRV00141,TRK00108,TRL00082,2022-01-01,515,8.6,93.6,5.5,8.3,Completed
TRIP00000003,LOAD00000003,DRV00032,TRK00031,TRL00138,2022-01-01,2509,45.0,339.1,7.4,12.0,Completed
TRIP00000004,LOAD00000004,DRV00083,TRK00105,TRL00018,2022-01-01,717,11.1,110.3,6.5,9.6,Completed
TRIP00000005,LOAD00000005,DRV00044,TRK00076,TRL00054,2022-01-01,2243,35.0,328.9,6.82,11.6,Completed
TRIP00000006,LOAD00000006,DRV00120,TRK00062,TRL00007,2022-01-01,1977,39.4,358.8,5.51,6.6,Completed
TRIP00000007,LOAD00000007,DRV00055,TRK00002,TRL00093,2022-01-01,1350,20.9,230.8,5.85,2.3,Completed
TRIP00000008,LOAD00000008,DRV00065,TRK00035,TRL00148,2022-01-01,2748,50.5,437.6,6.28,10.5,Completed
TRIP00000009,LOAD00000009,DRV00129,TRK00014,TRL00083,2022-01-01,3226,51.4,465.5,6.93,4.1,Completed
TRIP00000010,LOAD00000010,DRV00029,TRK00116,TRL00126,2022-01-01,3388,60.2,460.3,7.36,5.7,Completed
TRIP00000011,LOAD00000011,DRV00132,TRK00085,TRL00083,2022-01-01,538,9.9,72.2,7.45,4.9,Completed
TRIP00000012,LOAD00000012,DRV00088,TRK00039,TRL00142,2022-01-01,861,14.3,150.3,5.73,6.7,Completed
TRIP00000013,LOAD00000013,DRV00070,TRK00086,TRL00119,2022-01-01,689,12.4,112.0,6.15,3.6,Completed
TRIP00000014,LOAD00000014,DRV00009,TRK00052,TRL00021,2022-01-01,2255,35.0,377.1,5.98,8.7,Completed
TRIP00000015,LOAD00000015,DRV00071,TRK00120,TRL00132,2022-01-01,684,11.4,92.9,7.36,4.4,Completed
TRIP00000016,LOAD00000016,DRV00036,TRK00054,TRL00048,2022-01-01,97,1.9,14.7,6.62,8.8,Completed
TRIP00000017,LOAD00000017,DRV00094,TRK00049,TRL00171,2022-01-01,1571,25.5,209.7,7.49,2.3,Completed
TRIP00000018,LOAD00000018,DRV00125,TRK00080,TRL00004,2022-01-01,1405,25.8,192.5,7.3,5.9,Completed
TRIP00000019,LOAD00000019,DRV00142,TRK00040,TRL00095,2022-01-01,2554,44.7,387.6,6.59,3.7,Completed
TRIP00000020,LOAD00000020,DRV00118,TRK00010,TRL00062,2022-01-01,664,10.3,92.6,7.17,8.1,Completed
TRIP00000021,LOAD00000021,DRV00066,TRK00058,TRL00151,2022-01-01,2800,48.0,443.0,6.32,6.1,Completed
TRIP00000022,LOAD00000022,DRV00114,TRK00078,TRL00061,2022-01-01,883,14.6,154.1,5.73,9.7,Completed
TRIP00000023,LOAD00000023,DRV00117,TRK00026,TRL00027,2022-01-01,2495,46.4,379.8,6.57,9.8,Completed
TRIP00000024,LOAD00000024,DRV00082,TRK00001,TRL00081,2022-01-01,1272,19.9,200.9,6.33,3.9,Completed
TRIP00000025,LOAD00000025,DRV00053,TRK00018,TRL00024,2022-01-01,2415,41.3,372.1,6.49,9.7,Completed
TRIP00000026,LOAD00000026,DRV00102,TRK00076,TRL00163,2022-01-01,564,9.4,92.2,6.12,3.1,Completed
